Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for bsd-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:15:25 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(1602568k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-01-22T12:15:38.689-0800: 0.123: [GC (Allocation Failure) [PSYoungGen: 33223K->5108K(38400K)] 33223K->11193K(125952K), 0.0057511 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2021-01-22T12:15:38.708-0800: 0.141: [GC (Allocation Failure) [PSYoungGen: 38388K->5116K(38400K)] 44473K->20518K(125952K), 0.0069091 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2021-01-22T12:15:38.722-0800: 0.155: [GC (Allocation Failure) [PSYoungGen: 38145K->5112K(38400K)] 53547K->31686K(125952K), 0.0065965 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2021-01-22T12:15:38.735-0800: 0.169: [GC (Allocation Failure) [PSYoungGen: 38307K->5118K(38400K)] 64881K->46116K(125952K), 0.0077997 secs] [Times: user=0.01 sys=0.02, real=0.01 secs] 
2021-01-22T12:15:38.750-0800: 0.183: [GC (Allocation Failure) [PSYoungGen: 38398K->5115K(38400K)] 79396K->56769K(125952K), 0.0063554 secs] [Times: user=0.01 sys=0.02, real=0.00 secs] 
2021-01-22T12:15:38.762-0800: 0.196: [GC (Allocation Failure) [PSYoungGen: 38164K->5118K(19968K)] 89817K->69031K(107520K), 0.0069866 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2021-01-22T12:15:38.772-0800: 0.205: [GC (Allocation Failure) [PSYoungGen: 19885K->6819K(29184K)] 83798K->73123K(116736K), 0.0026843 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T12:15:38.778-0800: 0.211: [GC (Allocation Failure) [PSYoungGen: 21604K->10408K(29184K)] 87908K->76767K(116736K), 0.0022027 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-01-22T12:15:38.783-0800: 0.216: [GC (Allocation Failure) [PSYoungGen: 25041K->12206K(29184K)] 91401K->81254K(116736K), 0.0035376 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2021-01-22T12:15:38.789-0800: 0.223: [GC (Allocation Failure) [PSYoungGen: 27054K->9738K(29184K)] 96102K->86264K(116736K), 0.0047334 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2021-01-22T12:15:38.794-0800: 0.227: [Full GC (Ergonomics) [PSYoungGen: 9738K->0K(29184K)] [ParOldGen: 76526K->77737K(87552K)] 86264K->77737K(116736K), [Metaspace: 2734K->2734K(1056768K)], 0.0147460 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-01-22T12:15:38.811-0800: 0.245: [Full GC (Ergonomics) [PSYoungGen: 14262K->0K(29184K)] [ParOldGen: 77737K->82356K(87552K)] 91999K->82356K(116736K), [Metaspace: 2734K->2734K(1056768K)], 0.0082588 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2021-01-22T12:15:38.822-0800: 0.256: [Full GC (Ergonomics) [PSYoungGen: 14561K->0K(29184K)] [ParOldGen: 82356K->85681K(87552K)] 96918K->85681K(116736K), [Metaspace: 2734K->2734K(1056768K)], 0.0112536 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2021-01-22T12:15:38.836-0800: 0.270: [Full GC (Ergonomics) [PSYoungGen: 14848K->4001K(29184K)] [ParOldGen: 85681K->87426K(87552K)] 100529K->91427K(116736K), [Metaspace: 2734K->2734K(1056768K)], 0.0131925 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-01-22T12:15:38.852-0800: 0.286: [Full GC (Ergonomics) [PSYoungGen: 14815K->7067K(29184K)] [ParOldGen: 87426K->87406K(87552K)] 102242K->94473K(116736K), [Metaspace: 2734K->2734K(1056768K)], 0.0073817 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-22T12:15:38.861-0800: 0.295: [Full GC (Ergonomics) [PSYoungGen: 14848K->8852K(29184K)] [ParOldGen: 87406K->86949K(87552K)] 102254K->95802K(116736K), [Metaspace: 2734K->2734K(1056768K)], 0.0092927 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-01-22T12:15:38.872-0800: 0.305: [Full GC (Ergonomics) [PSYoungGen: 14826K->10582K(29184K)] [ParOldGen: 86949K->86651K(87552K)] 101775K->97233K(116736K), [Metaspace: 2734K->2734K(1056768K)], 0.0085008 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2021-01-22T12:15:38.881-0800: 0.315: [Full GC (Ergonomics) [PSYoungGen: 14624K->12842K(29184K)] [ParOldGen: 86651K->86651K(87552K)] 101275K->99493K(116736K), [Metaspace: 2734K->2734K(1056768K)], 0.0026054 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T12:15:38.885-0800: 0.318: [Full GC (Ergonomics) [PSYoungGen: 14791K->12587K(29184K)] [ParOldGen: 86651K->87424K(87552K)] 101442K->100012K(116736K), [Metaspace: 2734K->2734K(1056768K)], 0.0103447 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-01-22T12:15:38.896-0800: 0.329: [Full GC (Ergonomics) [PSYoungGen: 14788K->13428K(29184K)] [ParOldGen: 87424K->87409K(87552K)] 102213K->100838K(116736K), [Metaspace: 2734K->2734K(1056768K)], 0.0078000 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-01-22T12:15:38.904-0800: 0.338: [Full GC (Ergonomics) [PSYoungGen: 14719K->14022K(29184K)] [ParOldGen: 87409K->87409K(87552K)] 102129K->101431K(116736K), [Metaspace: 2734K->2734K(1056768K)], 0.0026482 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-01-22T12:15:38.907-0800: 0.341: [Full GC (Ergonomics) [PSYoungGen: 14742K->14411K(29184K)] [ParOldGen: 87409K->87409K(87552K)] 102152K->101821K(116736K), [Metaspace: 2734K->2734K(1056768K)], 0.0022628 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T12:15:38.910-0800: 0.343: [Full GC (Ergonomics) [PSYoungGen: 14839K->14540K(29184K)] [ParOldGen: 87409K->87300K(87552K)] 102249K->101841K(116736K), [Metaspace: 2734K->2734K(1056768K)], 0.0119324 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-01-22T12:15:38.922-0800: 0.355: [Full GC (Ergonomics) [PSYoungGen: 14694K->14403K(29184K)] [ParOldGen: 87300K->87242K(87552K)] 101995K->101645K(116736K), [Metaspace: 2734K->2734K(1056768K)], 0.0088146 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
