Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for bsd-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:15:25 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(1067296k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-01-22T12:05:47.875-0800: 0.146: [GC (Allocation Failure) [PSYoungGen: 65317K->10741K(76288K)] 65317K->26522K(251392K), 0.0123600 secs] [Times: user=0.01 sys=0.03, real=0.01 secs] 
2021-01-22T12:05:47.903-0800: 0.174: [GC (Allocation Failure) [PSYoungGen: 76277K->10734K(76288K)] 92058K->51835K(251392K), 0.0167999 secs] [Times: user=0.02 sys=0.04, real=0.02 secs] 
2021-01-22T12:05:47.931-0800: 0.202: [GC (Allocation Failure) [PSYoungGen: 76270K->10750K(76288K)] 117371K->73842K(251392K), 0.0121083 secs] [Times: user=0.01 sys=0.03, real=0.01 secs] 
2021-01-22T12:05:47.956-0800: 0.226: [GC (Allocation Failure) [PSYoungGen: 76221K->10748K(76288K)] 139314K->94213K(251392K), 0.0111398 secs] [Times: user=0.01 sys=0.02, real=0.01 secs] 
2021-01-22T12:05:47.978-0800: 0.248: [GC (Allocation Failure) [PSYoungGen: 76284K->10751K(76288K)] 159749K->118569K(251392K), 0.0131301 secs] [Times: user=0.02 sys=0.03, real=0.02 secs] 
2021-01-22T12:05:48.002-0800: 0.273: [GC (Allocation Failure) [PSYoungGen: 76279K->10741K(40448K)] 184098K->144870K(215552K), 0.0137496 secs] [Times: user=0.02 sys=0.03, real=0.01 secs] 
2021-01-22T12:05:48.022-0800: 0.292: [GC (Allocation Failure) [PSYoungGen: 40043K->18650K(58368K)] 174173K->155938K(233472K), 0.0045093 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-22T12:05:48.032-0800: 0.303: [GC (Allocation Failure) [PSYoungGen: 48336K->24890K(58368K)] 185624K->164546K(233472K), 0.0052647 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2021-01-22T12:05:48.043-0800: 0.313: [GC (Allocation Failure) [PSYoungGen: 54343K->28646K(58368K)] 193999K->177507K(233472K), 0.0091844 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2021-01-22T12:05:48.052-0800: 0.323: [Full GC (Ergonomics) [PSYoungGen: 28646K->0K(58368K)] [ParOldGen: 148860K->151892K(175104K)] 177507K->151892K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0282754 secs] [Times: user=0.09 sys=0.01, real=0.03 secs] 
2021-01-22T12:05:48.086-0800: 0.356: [Full GC (Ergonomics) [PSYoungGen: 29426K->0K(58368K)] [ParOldGen: 151892K->157995K(175104K)] 181319K->157995K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0262608 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2021-01-22T12:05:48.117-0800: 0.388: [Full GC (Ergonomics) [PSYoungGen: 29673K->0K(58368K)] [ParOldGen: 157995K->163209K(175104K)] 187668K->163209K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0271086 secs] [Times: user=0.07 sys=0.01, real=0.03 secs] 
2021-01-22T12:05:48.150-0800: 0.421: [Full GC (Ergonomics) [PSYoungGen: 29365K->0K(58368K)] [ParOldGen: 163209K->170835K(175104K)] 192575K->170835K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0274987 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2021-01-22T12:05:48.183-0800: 0.453: [Full GC (Ergonomics) [PSYoungGen: 29444K->0K(58368K)] [ParOldGen: 170835K->175026K(175104K)] 200279K->175026K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0292390 secs] [Times: user=0.07 sys=0.01, real=0.03 secs] 
2021-01-22T12:05:48.217-0800: 0.488: [Full GC (Ergonomics) [PSYoungGen: 29459K->5719K(58368K)] [ParOldGen: 175026K->174605K(175104K)] 204485K->180324K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0258210 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2021-01-22T12:05:48.248-0800: 0.518: [Full GC (Ergonomics) [PSYoungGen: 29629K->10344K(58368K)] [ParOldGen: 174605K->174787K(175104K)] 204234K->185131K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0284083 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2021-01-22T12:05:48.280-0800: 0.551: [Full GC (Ergonomics) [PSYoungGen: 29512K->13784K(58368K)] [ParOldGen: 174787K->175064K(175104K)] 204299K->188848K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0305865 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2021-01-22T12:05:48.314-0800: 0.584: [Full GC (Ergonomics) [PSYoungGen: 29696K->16526K(58368K)] [ParOldGen: 175064K->174892K(175104K)] 204760K->191418K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0250552 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2021-01-22T12:05:48.342-0800: 0.612: [Full GC (Ergonomics) [PSYoungGen: 29696K->18218K(58368K)] [ParOldGen: 174892K->174680K(175104K)] 204588K->192898K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0352558 secs] [Times: user=0.08 sys=0.01, real=0.03 secs] 
2021-01-22T12:05:48.380-0800: 0.651: [Full GC (Ergonomics) [PSYoungGen: 29642K->19021K(58368K)] [ParOldGen: 174680K->174762K(175104K)] 204322K->193784K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0235378 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2021-01-22T12:05:48.406-0800: 0.677: [Full GC (Ergonomics) [PSYoungGen: 29202K->21111K(58368K)] [ParOldGen: 174762K->175004K(175104K)] 203965K->196116K(233472K), [Metaspace: 2734K->2734K(1056768K)], 0.0283207 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
